,year,quarter,count,company_code,pub_code,,,,,,,,,
34,2003,3,0,natnnl,sfglob,,,,,,,,,
35,2003,4,0,natnnl,sfglob,,,,,,,,,
36,2004,1,0,natnnl,sfglob,,,,,,,,,
37,2004,2,0,natnnl,sfglob,,,,,,,,,
38,2004,3,0,natnnl,sfglob,,,,,,,,,
39,2004,4,0,natnnl,sfglob,,,,,,,,,
40,2005,1,0,natnnl,sfglob,,,,,,,,,
41,2005,2,0,natnnl,sfglob,,,,,,,,,
42,2005,3,0,natnnl,sfglob,,,,,,,,,
43,2005,4,0,natnnl,sfglob,,,,,,,,,
44,2006,1,0,natnnl,sfglob,,,,,,,,,
45,2006,2,0,natnnl,sfglob,,,,,,,,,
46,2006,3,0,natnnl,sfglob,,,,,,,,,
47,2006,4,0,natnnl,sfglob,,,,,,,,,
48,2007,1,0,natnnl,sfglob,,,,,,,,,
49,2007,2,0,natnnl,sfglob,,,,,,,,,
50,2007,3,0,natnnl,sfglob,,,,,,,,,
51,2007,4,0,natnnl,sfglob,,,,,,,,,
52,2008,1,0,natnnl,sfglob,,,,,,,,,
53,2008,2,0,natnnl,sfglob,,,,,,,,,
54,2008,3,0,natnnl,sfglob,,,,,,,,,
55,2008,4,0,natnnl,sfglob,,,,,,,,,
56,2009,1,0,natnnl,sfglob,,,,,,,,,
57,2009,2,0,natnnl,sfglob,,,,,,,,,
58,2009,3,0,natnnl,sfglob,,,,,,,,,
59,2009,4,0,natnnl,sfglob,,,,,,,,,
60,2010,1,0,natnnl,sfglob,,,,,,,,,
61,2010,2,0,natnnl,sfglob,,,,,,,,,
62,2010,3,0,natnnl,sfglob,,,,,,,,,
63,2010,4,0,natnnl,sfglob,,,,,,,,,
64,2011,1,0,natnnl,sfglob,,,,,,,,,
65,2011,2,0,natnnl,sfglob,,,,,,,,,
66,2011,3,0,natnnl,sfglob,,,,,,,,,
67,2011,4,0,natnnl,sfglob,,,,,,,,,
68,2012,1,0,natnnl,sfglob,,,,,,,,,
69,2012,2,0,natnnl,sfglob,,,,,,,,,
70,2012,3,0,natnnl,sfglob,,,,,,,,,
71,2012,4,0,natnnl,sfglob,,,,,,,,,
72,2013,1,0,natnnl,sfglob,,,,,,,,,
73,2013,2,0,natnnl,sfglob,,,,,,,,,
74,2013,3,0,natnnl,sfglob,,,,,,,,,
75,2013,4,0,natnnl,sfglob,,,,,,,,,
76,2014,1,0,natnnl,sfglob,,,,,,,,,
77,2014,2,0,natnnl,sfglob,,,,,,,,,
78,2014,3,0,natnnl,sfglob,,,,,,,,,
79,2014,4,0,natnnl,sfglob,,,,,,,,,
80,2015,1,0,natnnl,sfglob,,,,,,,,,
81,2015,2,0,natnnl,sfglob,,,,,,,,,
82,2015,3,0,natnnl,sfglob,,,,,,,,,
83,2015,4,0,natnnl,sfglob,,,,,,,,,
84,2016,1,0,natnnl,sfglob,,,,,,,,,
85,2016,2,0,natnnl,sfglob,,,,,,,,,
86,2016,3,0,natnnl,sfglob,,,,,,,,,
87,2016,4,0,natnnl,sfglob,,,,,,,,,
88,2017,1,0,natnnl,sfglob,,,,,,,,,
89,2017,2,0,natnnl,sfglob,,,,,,,,,
90,2017,3,0,natnnl,sfglob,,,,,,,,,
91,2017,4,0,natnnl,sfglob,,,,,,,,,
92,2018,1,0,natnnl,sfglob,,,,,,,,,
93,2018,2,0,natnnl,sfglob,,,,,,,,,
94,2018,3,0,natnnl,sfglob,,,,,,,,,
95,2018,4,0,natnnl,sfglob,,,,,,,,,
96,2019,1,0,natnnl,sfglob,,,,,,,,,
97,2019,2,0,natnnl,sfglob,,,,,,,,,
98,2019,3,0,natnnl,sfglob,,,,,,,,,
99,2019,4,0,natnnl,sfglob,,,,,,,,,
100,2020,1,0,natnnl,sfglob,,,,,,,,,
